Isolate,Treat,Rep,Conc,GRate,Catorg
E54,Control,R1,Control,2,C54E
A43,Control,R1,Control,6,C43A
E58,Control,R1,Control,0,C58E
A46,Control,R1,Control,1.714285714,C46A
A54,Control,R1,Control,2.571428571,C54A
E65,Control,R1,Control,2,C65E
E68,Control,R1,Control,6,C68E
E54,Control,R2,Control,2,C54E
A43,Control,R2,Control,5,C43A
E58,Control,R2,Control,0.142857143,C58E
A46,Control,R2,Control,1.857142857,C46A
A54,Control,R2,Control,2.571428571,C54A
E65,Control,R2,Control,0.666666667,C65E
E68,Control,R2,Control,5.666666667,C68E
E54,Control,R3,Control,1,C54E
A43,Control,R3,Control,5,C43A
E58,Control,R3,Control,0.285714286,C58E
A46,Control,R3,Control,2,C46A
A54,Control,R3,Control,2.857142857,C54A
E65,Control,R3,Control,2,C65E
E68,Control,R3,Control,7,C68E
E54,Intego,R1,IT1,5,I54E_1
A43,Intego,R1,IT1,5,I43A_1
E58,Intego,R1,IT1,0,I58E_1
A46,Intego,R1,IT1,2.571428571,I46A_1
A54,Intego,R1,IT1,2.428571429,I54A_1
E65,Intego,R1,IT1,3.666666667,I65E_1
E68,Intego,R1,IT1,0.333333333,I68E_1
E54,Intego,R2,IT1,5,I54E_1
A43,Intego,R2,IT1,4,I43A_1
E58,Intego,R2,IT1,1,I58E_1
A46,Intego,R2,IT1,2.428571429,I46A_1
A54,Intego,R2,IT1,2.714285714,I54A_1
E65,Intego,R2,IT1,5.333333333,I65E_1
E68,Intego,R2,IT1,1,I68E_1
E54,Intego,R3,IT1,4,I54E_1
A43,Intego,R3,IT1,6,I43A_1
E58,Intego,R3,IT1,0.571428571,I58E_1
A46,Intego,R3,IT1,2.285714286,I46A_1
A54,Intego,R3,IT1,2.571428571,I54A_1
E65,Intego,R3,IT1,2.666666667,I65E_1
E68,Intego,R3,IT1,0.666666667,I68E_1
E54,Intego,R1,IT2,5,I54E_2
E58,Intego,R1,IT2,0.142857143,I58E_2
A46,Intego,R1,IT2,2.571428571,I46A_2
A54,Intego,R1,IT2,2.285714286,I54A_2
E65,Intego,R1,IT2,3.666666667,I65E_2
E68,Intego,R1,IT2,0.333333333,I68E_2
E54,Intego,R2,IT2,3,I54E_2
E58,Intego,R2,IT2,0.142857143,I58E_2
A46,Intego,R2,IT2,1.857142857,I46A_2
A54,Intego,R2,IT2,2.428571429,I54A_2
E65,Intego,R2,IT2,2.666666667,I65E_2
E68,Intego,R2,IT2,0.333333333,I68E_2
E54,Intego,R3,IT2,5,I54E_2
E58,Intego,R3,IT2,0,I58E_2
A46,Intego,R3,IT2,2.571428571,I46A_2
A54,Intego,R3,IT2,2.428571429,I54A_2
E65,Intego,R3,IT2,2,I65E_2
E68,Intego,R3,IT2,4.666666667,I68E_2
E54,Intego,R1,IT3,2,I54E_3
A43,Intego,R1,IT3,5,I43A_3
E58,Intego,R1,IT3,0,I58E_3
A46,Intego,R1,IT3,1.571428571,I46A_3
A54,Intego,R1,IT3,2,I54A_3
E65,Intego,R1,IT3,3,I65E_3
E68,Intego,R1,IT3,0,I68E_3
E54,Intego,R2,IT3,6,I54E_3
A43,Intego,R2,IT3,5,I43A_3
E58,Intego,R2,IT3,0,I58E_3
A46,Intego,R2,IT3,2.142857143,I46A_3
A54,Intego,R2,IT3,2.714285714,I54A_3
E65,Intego,R2,IT3,4.333333333,I65E_3
E68,Intego,R2,IT3,0,I68E_3
E54,Intego,R3,IT3,2,I54E_3
A43,Intego,R3,IT3,5,I43A_3
E58,Intego,R3,IT3,0.857142857,I58E_3
A46,Intego,R3,IT3,1.714285714,I46A_3
A54,Intego,R3,IT3,2.428571429,I54A_3
E65,Intego,R3,IT3,4,I65E_3
E68,Intego,R3,IT3,0.333333333,I68E_3
E54,Allegiance,R1,AT1,3,A54E_1
A43,Allegiance,R1,AT1,3,A43A_1
E58,Allegiance,R1,AT1,0.714285714,A58E_1
A46,Allegiance,R1,AT1,2.857142857,A46A_1
A54,Allegiance,R1,AT1,2.428571429,A54A_1
E65,Allegiance,R1,AT1,2,A65E_1
E68,Allegiance,R1,AT1,5,A68E_1
E54,Allegiance,R2,AT1,2,A54E_1
A43,Allegiance,R2,AT1,4,A43A_1
E58,Allegiance,R2,AT1,0.571428571,A58E_1
A46,Allegiance,R2,AT1,2.285714286,A46A_1
A54,Allegiance,R2,AT1,2.571428571,A54A_1
E65,Allegiance,R2,AT1,1,A65E_1
E68,Allegiance,R2,AT1,5.333333333,A68E_1
E54,Allegiance,R3,AT1,2,A54E_1
A43,Allegiance,R3,AT1,4,A43A_1
E58,Allegiance,R3,AT1,0.428571429,A58E_1
A46,Allegiance,R3,AT1,2,A46A_1
A54,Allegiance,R3,AT1,2,A54A_1
E65,Allegiance,R3,AT1,2,A65E_1
E68,Allegiance,R3,AT1,5.333333333,A68E_1
E54,Allegiance,R1,AT2,3,A54E_2
A43,Allegiance,R1,AT2,0,A43A_2
E58,Allegiance,R1,AT2,0.571428571,A58E_2
A46,Allegiance,R1,AT2,2.285714286,A46A_2
