Isolate,Treat,Rep,Conc,GRate,Catorg
A46,Control,R1,Control,1.714285714,Control
A46,Control,R2,Control,1.857142857,Control
A46,Control,R3,Control,2,Control
A46,Intego,R1,IT1,2.571428571,I46_1
A46,Intego,R2,IT1,2.428571429,I46_1
A46,Intego,R3,IT1,2.285714286,I46_1
A46,Intego,R1,IT2,2.571428571,I46_2
A46,Intego,R2,IT2,1.857142857,I46_2
A46,Intego,R3,IT2,2.571428571,I46_2
A46,Intego,R1,IT3,1.571428571,I46_3
A46,Intego,R2,IT3,2.142857143,I46_3
A46,Intego,R3,IT3,1.714285714,I46_3
A46,Allegiance,R1,AT1,2.857142857,A46_1
A46,Allegiance,R2,AT1,2.285714286,A46_1
A46,Allegiance,R3,AT1,2,A46_1
A46,Allegiance,R1,AT2,2.285714286,A46_2
A46,Allegiance,R2,AT2,2.285714286,A46_2
A46,Allegiance,R3,AT2,2.285714286,A46_2
A46,Allegiance,R1,AT3,0.857142857,A46_3
A46,Allegiance,R2,AT3,1,A46_3
A46,Allegiance,R3,AT3,1.428571429,A46_3
A46,Ridomil,R1,RT1,1.714285714,R46_1
A46,Ridomil,R2,RT1,2,R46_1
A46,Ridomil,R3,RT1,2,R46_1
A46,Ridomil,R1,RT2,1.285714286,R46_2
A46,Ridomil,R2,RT2,1.714285714,R46_2
A46,Ridomil,R3,RT2,2.857142857,R46_2
A46,Ridomil,R1,RT3,0.285714286,R46_3
A46,Ridomil,R2,RT3,0.285714286,R46_3
A46,Ridomil,R3,RT3,0.571428571,R46_3
