Isolate,Treat,Rep,Conc,GRate,Catorg
E54,Control,R1,Control,6,Control
E54,Control,R2,Control,5,Control
E54,Control,R3,Control,5,Control
E54,Intego,R1,IT1,5,I54_1
E54,Intego,R2,IT1,4,I54_1
E54,Intego,R3,IT1,6,I54_1
E54,Intego,R1,IT3,5,I54_3
E54,Intego,R2,IT3,5,I54_3
E54,Intego,R3,IT3,5,I54_3
E54,Allegiance,R1,AT1,3,A54_1
E54,Allegiance,R2,AT1,4,A54_1
E54,Allegiance,R3,AT1,4,A54_1
E54,Allegiance,R1,AT2,0,A54_2
E54,Allegiance,R2,AT2,0,A54_2
E54,Allegiance,R3,AT2,3,A54_2
E54,Allegiance,R1,AT3,2,A54_3
E54,Allegiance,R2,AT3,2,A54_3
E54,Allegiance,R3,AT3,2,A54_3
E54,Ridomil,R1,RT1,1,R54_1
E54,Ridomil,R2,RT1,1,R54_1
E54,Ridomil,R3,RT1,2,R54_1
E54,Ridomil,R1,RT2,1,R54_2
E54,Ridomil,R2,RT2,0,R54_2
E54,Ridomil,R3,RT2,2,R54_2
E54,Ridomil,R1,RT3,0,R54_3
E54,Ridomil,R2,RT3,3,R54_3
E54,Ridomil,R3,RT3,1,R54_3
